ID_CLIENTE	NOMBRE_CLIENTE	FECHA_NACIMIENTO	EDAD	TELEFONO	EMAIL
1001	Daniel Costa	1965-10-16	59	375140891	martinezrick@kim.net
1002	Jennifer Garcia	1969-07-29	55	336621195	susan99@hotmail.com
1003	Heather Wilson	1976-02-24	48	334082247	njohnson@yahoo.com
1004	Tony Reeves	1966-01-08	58	335847300	patrickglenn@woods-sandoval.com
1005	James Wilson	1964-10-17	60	386064379	kimberly70@lozano.net
1006	Christopher Campbell	1974-04-11	50	333079491	justinlawrence@norman.com
1007	Michael Fitzpatrick	1986-01-23	38	310949926	jeremy54@hotmail.com
1008	Leslie Mueller	1969-02-26	55	386193756	liamanda@yahoo.com
1009	Daniel Ramirez	1995-06-28	29	384423003	brownheather@hotmail.com
1010	Victor Stuart	2002-12-19	22	330584680	kelseyhouston@gmail.com
1011	Michael Vincent	1972-11-12	52	312250004	adam85@yahoo.com
1012	Lorraine Stout	1976-05-01	48	332434022	jason59@hotmail.com
1013	Aaron Jones	1986-07-02	38	386493262	reedkenneth@hotmail.com
1014	Christina Phillips	1966-01-28	58	360126572	sydney95@gmail.com
1015	Kimberly Mitchell	1976-10-18	48	356004908	aaron52@smith.com
1016	James Carter	1983-10-12	41	397520263	ybaker@yahoo.com
1017	Tracy Johnson	1967-03-29	57	303069246	shannongregory@smith-jones.com
1018	Amanda Williams	1976-12-15	48	357998652	lewisadriana@hotmail.com
1019	Jennifer Leon	1995-05-04	29	318212988	phelpsstanley@gmail.com
1020	Billy Hart	1980-08-14	44	331195323	amber83@gmail.com
1021	Brent Stevenson	1986-12-08	38	318610319	ucolon@brady.net
1022	Heather Horne	1970-08-13	54	379974742	travis97@hotmail.com
1023	Joseph Gray	1967-03-12	57	312788672	ftaylor@douglas.com
1024	Courtney Smith	1990-02-21	34	365952637	williamsryan@gmail.com
1025	Tammy Taylor	2001-10-10	23	315467196	ajones@yahoo.com
1026	Maria Shaffer	1967-12-21	57	312553995	louis37@williams-hendricks.com
1027	Johnny Villa	1971-10-10	53	388571088	bmitchell@lee.biz
1028	Beth Cooper	1992-05-17	32	385575113	llara@yahoo.com
1029	Daniel White	1993-01-22	31	372351356	levythomas@yahoo.com
1030	Timothy Vance	1968-05-30	56	394100138	herreracheyenne@hotmail.com
1031	Amy Park	1988-10-25	36	346270621	vjohnson@hotmail.com
1032	Dustin Cochran	1989-11-10	35	329027361	onguyen@hotmail.com
1033	Wesley Matthews	1997-10-27	27	326525410	dylan97@gmail.com
1034	Charles Johnson	2002-12-16	22	386666666	gking@hotmail.com
1035	Roy Thompson	1967-04-05	57	339141095	newmanshelby@yahoo.com
1036	Nicole Whitehead	2002-01-06	22	350270591	dianalewis@gmail.com
1037	Jacob Armstrong	2002-10-23	22	356700806	ijames@byrd.com
1038	Madison Reynolds	1966-07-17	58	397270511	lucasgina@malone.info
1039	Ross Brown	1967-07-30	57	379804658	kimberlychapman@shaw.com
1040	Shelley Fitzgerald	1989-03-12	35	352636814	lori35@gray.net
1041	Sara Martin	1967-07-02	57	381630270	williamdavis@jenkins.biz
1042	Joy Robbins	1975-03-02	49	334356164	rodriguezrobert@bass-lee.com
1043	Deanna Wilson	1969-11-02	55	318360194	devon71@hotmail.com
1044	Kenneth Hernandez	1971-07-07	53	346993828	jonathanvalenzuela@hotmail.com
1045	Malik Perez	1976-03-18	48	328143487	danabrown@yahoo.com
1046	Jessica Leon	1974-04-19	50	385310152	nancysimmons@black.net
1047	Jessica Miller	1968-10-06	56	347282083	peter53@simmons.com
1048	Andrea Winters	2003-10-15	21	382057852	jamiechandler@hotmail.com
1049	John Collins	1976-01-13	48	307097523	joseblack@rodriguez.org
1050	John Singh	1990-10-27	34	322725714	pramsey@yahoo.com
1051	Joanne Mcfarland	1970-11-02	54	336423716	angelasmith@moore-mccarthy.com
1052	Angela Glover	1985-07-21	39	393858752	rjohnson@gmail.com
1053	Thomas Mckee	1964-03-12	60	355674120	haydennathan@gmail.com
1054	Cynthia Ellison	1969-08-09	55	359368193	istokes@goodman.org
1055	Michael Wright	1972-01-02	52	329819574	chelsea59@hotmail.com
1056	William Mitchell	1969-05-10	55	392729402	bennettjonathan@hotmail.com
1057	Gregory Lucas	1969-05-02	55	382419439	ylynch@hotmail.com
1058	Joshua Villarreal	1965-07-08	59	370362830	brianpierce@gmail.com
1059	Monique Stanton	1981-07-22	43	312079973	wreed@garcia-davis.org
1060	Sean Gonzalez	1992-02-07	32	351569015	kristinsimmons@bailey-brown.info
1061	Joseph Young	1995-04-18	29	357966778	megan08@hancock.com
1062	Albert Munoz	1991-05-23	33	346021581	swebb@yahoo.com
1063	Sara Cisneros	2004-02-21	20	364296585	patricia75@jackson.com
1064	Connie Carr	1964-12-08	60	361740356	carolfisher@yahoo.com
1065	Blake Mcintyre	2003-09-30	21	311350405	eallen@wyatt.net
1066	Jason Mcdaniel	1996-04-28	28	322005082	ugonzalez@yahoo.com
1067	Charles Martinez	1984-01-01	40	304762021	xmorrow@gmail.com
1068	Joseph Anderson	1968-04-05	56	339316213	laneashley@gmail.com
1069	John Lopez	1966-02-21	58	390641831	crossadrian@allen.org
1070	Heather Anderson	2004-08-12	20	397477224	sjohnson@martinez-little.com
1071	Jennifer Williams	1993-09-18	31	309026169	daniel00@yahoo.com
1072	Rachel Farmer	1988-03-26	36	337158586	jose23@yahoo.com
1073	Angela Shannon	1979-05-10	45	329084285	kristin40@evans-young.org
1074	Michele Bautista	1964-03-24	60	300654647	vwright@yahoo.com
1075	Margaret Franklin	1996-01-03	28	340962208	websterbrandon@hotmail.com
1076	Curtis Ball	1991-04-02	33	390198021	melissaharper@anderson-lawrence.com
1077	Nathan Garcia	1998-10-07	26	387443536	jjackson@gmail.com
1078	David Cohen	1969-03-11	55	334598628	margaretcline@garner.com
1079	Haley Adkins	1980-06-30	44	325647931	bethany40@galloway.com
1080	Caroline Day	1991-12-31	33	339360574	ymoore@yahoo.com
1081	Chad Davis	1981-03-05	43	322416385	zlewis@hotmail.com
1082	Richard Galvan	1976-10-12	48	323322879	millsricardo@gmail.com
